;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,4.791,1.7135,desierto";;;
"2,Alcohol,0,3.0924,1.3307,bar";0;0;1
"3,Avion,0,1.7313,0.14275,uelo";0;0;1
"4,Barco,1,2.3697,0.72925,marinero";0;0;1
"5,Biblioteca,0,2.4582,0.58286,archivo";0;0;1
"6,Campo,0,3.0695,0.78782,granja";0;0;1
"7,Cementerio,0,1.3998,1.5041,velorio";0;0;0
"8,Circo,0,5.3872,0.38118,circo";1;0;0
"9,Cocina,1,3.9259,1.7311,cocina";0;1;0
"10,Comida,0,6.6702,2.2364,comida";1;0;0
"11,Computadora,1,3.2699,0.89183,computadora";0;1;0
"12,Desayuno,1,2.2725,0.87046,desayuno";0;1;0
"13,Equipo,1,3.5252,0.60873,compaeristmo";0;0;1
"14,Espacio,0,4.3431,0.9873,espacio";1;0;0
"15,Fiesta,0,4.0245,1.0652,fiesta";1;0;0
"16,Fuego,0,3.2265,1.2751,insendio";0;0;1
"17,Granjero,1,4.4441,0.79476,campo";0;0;1
"18,Guerra,1,1.4559,0.80654,guerra";0;1;0
"19,Laboratorio,1,1.6127,0.34775,laboratorio";0;1;0
"20,Lluvia,0,1.2466,0.50179,lluvia";1;0;0
"21,Medico,1,2.4758,0.66659,medicina";0;0;1
"22,Navidad,0,7.085,0.69766,aniversario";0;0;1
"23,Pintor,0,3.6593,0.68121,pintar";0;0;1
"24,Plomero,1,3.7084,0.8731,plomera";0;1;0
"25,Robo,1,4.9712,0.52568,revolucion";0;0;0
"26,Television,1,2.5432,0.4327,television";0;1;0
