,CorrectaConSubliminal,CorrectaCon3Imágenes,IncorrectaPeroConCiertoSentido
"1,Test,0,1.8291,0.71632,desierto",,,
"2,Alcohol,1,2.9718,2.7174,alcoohol",0,1,0
"3,Avion,0,2.2453,0.28348,viaje",0,0,1
"4,Barco,1,4.8266,0.23373,barco",0,1,0
"5,Biblioteca,1,2.2124,0.33933,libreria",0,0,1
"6,Campo,0,1.6579,0.60841,franja",0,0,1
"7,Cementerio,0,0.77384,2.3274,muerte",0,0,1
"8,Circo,1,3.5939,0.63475,circo",0,1,0
"9,Cocina,1,4.1857,0.5387,coincina",0,1,0
"10,Comida,0,8.2411,5.3514,fastfood",0,0,1
"11,Computadora,0,6.3978,0.59011,perifericos",0,0,1
"12,Desayuno,0,1.4006,0.90511,desayuno",1,0,0
"13,Equipo,1,4.5299,0.37277,juegos",0,0,1
"14,Espacio,1,10.051,0.48919,espacio",0,0,1
"15,Fiesta,1,3.0372,0.44382,fiesta",0,1,0
"16,Fuego,1,5.5431,0.20996,gufuego",0,1,0
"17,Granjero,0,3.4644,1.1659,granja",0,0,1
"18,Guerra,0,1.4558,0.33396,guerra",1,0,0
"19,Laboratorio,0,11.0645,0.49398,experimento",0,0,1
"20,Lluvia,0,4.5732,0.75871,lluvia",1,0,0
"21,Medico,1,4.7992,0.37515,medico",0,1,0
"22,Navidad,1,4.4432,0.28237,findeano",0,0,1
"23,Pintor,1,4.3384,1.2215,pintar",0,0,1
"24,Plomero,0,26.9969,0.31742,okiplomeria",0,0,1
"25,Robo,0,4.5366,0.78774,banco",0,0,1
"26,Television,0,2.4787,0.52343,television",1,0,0
