1,0,2.8979,1.6861,,
2,0,1.7667,1.0883,0,0,1
3,0,1.9426,1.6899,0,0,1
4,1,1.8766,0.70262,0,1,0
5,1,6.596,0.70854,0,0,0
6,0,1.6693,0.77897,0,0,1
7,0,1.6579,0.65701,1,0,0
8,0,1.5453,0.67569,1,0,0
9,0,1.3086,1.2011,1,0,0
10,1,4.0965,0.74902,0,0,1
11,0,1.794,1.1932,0,0,0
12,0,1.4547,0.68583,1,0,0
13,0,2.5422,0.42597,1,0,0
14,1,2.4265,0.61061,0,1,0
15,1,2.308,1.0413,0,1,0
16,0,2.1953,0.81976,0,0,1
17,1,1.7753,0.96118,0,0,1
18,1,1.4146,0.64651,0,1,0
19,1,1.9193,1.0112,0,1,0
20,0,1.5548,0.62202,1,0,0
21,0,1.5234,0.92722,1,0,0
22,1,2.1048,6.6766,0,0,1
23,1,1.8206,1.4843,0,0,1
24,0,3.8524,1.3948,1,0,0
25,1,3.3473,0.12569,0,0,1
26,1,1.48,0.6453,0,1,0
